Origin\Destination,Shanghai,Singapore,Shenzhen,Qingdao,Busan,Tianjin,Xiamen,Kaohsiung,Laem Chabang,Ho Chi Minh City,Jakarta,Colombo,Jebel Ali,Rotterdam,Hamburg,Piraeus,Los Angeles,New Jersey,Tanger Med,Cartagena
Shanghai,0,3645,2268,2409,2916,1707,972,1944,775,775,1033,2673,3190,3694,2907,2423,6393,3429,1519,729
Singapore,4860,0,4725,1435,1530,402,1435,1020,930,930,2067,2970,4725,2643,1762,1468,2948,1570,1266,540
Shenzhen,1836,4050,0,765,3240,648,223,2160,861,861,1148,2970,4860,4616,3171,2643,2888,3767,1519,648
Qingdao,2654,1243,893,0,1148,443,54,1080,201,201,268,1052,1368,1102,807,897,5325,1125,563,268
Busan,4666,1836,2484,1944,0,1167,1377,6918,258,258,343,1515,2645,1863,1410,1175,5908,2009,810,258
Tianjin,2313,1033,643,964,826,0,39,551,145,145,193,758,1205,1163,775,646,2005,1005,405,193
Xiamen,1102,1721,4604,459,1944,39,0,1296,242,242,322,1262,2066,1714,1269,1057,1629,1507,608,258
Kaohsiung,1821,572,823,918,2531,778,429,0,172,172,229,472,679,755,622,519,3865,708,358,172
Laem Chabang,1240,1860,1205,242,258,145,242,172,0,237,744,758,1205,635,423,499,594,377,304,129
Ho Chi Minh City,1240,1860,1205,242,258,145,242,172,558,0,744,758,1205,635,423,353,594,377,304,129
Jakarta,1653,1488,1607,322,343,193,322,229,446,446,0,1010,1607,846,564,666,792,502,405,172
Colombo,3694,3078,3591,1090,1308,306,1090,872,655,655,872,0,5400,2916,1944,1620,772,1620,1620,540
Jebel Ali,2212,2457,2212,871,1194,244,895,796,522,522,696,5400,0,3098,2066,1721,1157,1080,2430,358
Rotterdam,3368,1531,3151,936,1021,372,919,681,306,306,408,2916,4374,0,1801,1500,868,3888,3937,1458
Hamburg,2246,1021,2144,624,681,248,613,454,204,204,272,1944,2916,3000,0,1667,578,2592,2625,972
Piraeus,1871,851,1786,520,567,207,511,378,170,170,227,1620,2430,2500,1000,0,482,1530,2187,765
Los Angeles,4547,887,2542,2170,2916,868,1250,1296,230,230,307,772,1157,868,578,482,0,2314,386,587
New Jersey,2333,729,2041,648,778,258,583,519,146,146,195,1620,1080,3110,2592,1530,2268,0,1080,3726
Tanger Med,1653,1033,1446,459,551,183,414,367,207,207,276,1620,2430,2187,1458,1215,386,1080,0,1080
Cartagena,875,486,681,242,193,145,193,129,97,97,129,540,540,1458,972,765,460,2916,1080,0
