PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.36
11,51,55,18.52
12,56,60,18.82
13,61,65,18.63
14,66,70,18.75
15,71,75,19.50
16,76,80,19.03
17,81,85,18.97
18,86,90,19.05
19,91,95,19.29
20,96,100,19.73
21,101,105,20.20
22,106,110,20.78
23,111,115,21.37
24,116,120,20.95
25,121,125,20.16
26,126,130,19.81
27,131,135,19.92
28,136,140,20.39
29,141,145,20.95
30,146,150,22.02
31,151,155,21.26
32,156,160,20.99
33,161,165,21.39
34,166,170,22.04
35,171,175,22.69
36,176,180,23.48
37,181,185,20.79
38,186,190,21.27
39,191,195,21.15
40,196,200,20.38
41,201,205,21.22
42,206,210,20.72
43,211,215,21.07
44,216,220,20.74
45,221,225,20.68
46,226,230,20.42
47,231,235,20.76
48,236,240,20.98
49,241,245,21.84
50,246,250,19.98
51,251,255,20.11
52,256,260,19.52
53,261,265,19.50
54,266,270,19.70
55,271,275,20.04
56,276,280,20.50
57,281,285,19.74
58,286,290,19.71
59,291,295,20.20
60,296,300,20.77
61,301,305,21.09
62,306,310,21.73
63,311,315,21.82
64,316,320,20.44
65,321,325,20.44
66,326,330,19.70
67,331,335,20.08
68,336,340,20.64
69,341,345,20.91
70,346,350,20.19
71,351,355,19.93
72,356,360,20.49
,,OverallMean,20.22
,,PeriodStdDev,1.08
