Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,62,159,11,16,136,94,13,502,206,121,9,202,37,64,60,78,5,30
Cartagena,33,-,62,39,14,18,57,21,14,97,33,39,42,54,114,101,58,32,25,26
Colombo,65,51,-,138,14,17,65,45,17,88,99,93,53,198,82,97,30,101,21,41
Hamburg,90,40,169,-,22,29,225,59,22,123,69,29,84,8,249,257,99,23,41,77
Ho Chi Minh City,14,16,27,43,-,8,54,10,2,72,32,28,17,65,40,42,15,29,9,12
Jakarta,19,22,35,51,4,-,69,13,5,104,46,53,17,81,50,54,6,33,13,14
Jebel Ali,70,43,64,128,18,25,-,50,19,158,94,80,53,191,73,85,53,138,19,43
Kaohsiung,16,27,33,89,14,16,56,-,13,260,90,57,29,99,59,42,37,47,9,20
Laem Chabang,15,16,25,41,4,7,56,9,-,83,32,38,15,59,36,41,10,28,11,12
Los Angeles,279,131,103,111,31,40,158,140,32,-,441,96,219,166,430,279,109,68,101,143
New Jersey,96,48,144,68,18,21,108,75,16,448,-,56,93,77,253,235,72,21,38,76
Piraeus,71,50,112,18,17,19,135,45,15,88,74,-,63,37,176,164,69,20,26,52
Qingdao,34,34,38,92,9,12,70,11,8,433,128,85,-,111,8,18,34,59,21,0
Rotterdam,133,57,250,5,33,46,326,95,37,188,101,25,133,-,354,352,138,29,53,107
Shanghai,15,87,62,289,22,25,113,12,24,473,296,184,21,342,-,14,55,140,36,4
Shenzhen,40,74,55,297,19,23,138,9,22,289,296,196,28,391,71,-,39,119,10,14
Singapore,58,57,28,139,4,9,97,41,7,328,105,96,58,199,68,92,-,96,21,43
Tanger Med,68,32,132,14,22,31,164,40,22,75,21,11,62,15,171,165,91,-,29,51
Tianjin,29,26,32,84,6,9,67,19,7,219,95,58,2,124,11,14,33,42,-,0
Xiamen,29,33,41,137,8,10,90,8,10,157,152,91,18,169,49,12,37,60,1,-
