Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,24,4,6,46,131,5,115,38,24,35,34,88,46,30,14,13,27
Cartagena,4,-,12,22,2,3,11,3,2,9,62,18,6,32,19,16,10,22,3,4
Colombo,17,10,-,23,12,16,110,12,14,10,26,21,13,34,45,45,62,20,4,13
Hamburg,8,23,23,-,2,3,36,5,2,8,54,19,7,36,27,28,13,30,3,8
Ho Chi Minh City,2,1,6,3,-,6,9,1,5,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,16,8,107,26,11,15,-,11,10,16,22,22,10,40,27,28,51,31,3,11
Kaohsiung,33,3,6,8,2,3,9,-,2,82,9,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,14,3,1,2
Los Angeles,53,15,14,11,4,6,21,25,5,-,44,9,40,16,84,47,18,7,17,24
New Jersey,10,90,24,53,2,3,24,8,2,35,-,32,9,65,34,31,11,24,4,9
Piraeus,8,13,20,12,2,2,28,5,2,6,19,-,6,28,23,20,11,27,2,6
Qingdao,14,4,12,11,3,4,17,23,2,111,16,11,-,12,31,11,15,8,5,1
Rotterdam,12,34,35,22,4,5,52,9,4,12,84,19,12,-,42,38,18,48,5,11
Shanghai,53,13,32,36,9,12,40,38,9,138,58,28,45,44,-,27,43,18,32,12
Shenzhen,34,12,36,39,10,13,57,27,10,38,60,32,8,53,19,-,49,17,7,3
Singapore,19,10,59,21,8,17,91,13,8,39,24,19,16,30,59,62,-,17,5,17
Tanger Med,6,22,20,19,3,4,30,4,3,4,23,15,6,26,21,19,12,-,2,5
Tianjin,10,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,15,16,3,3,25,15,3,19,18,13,5,19,14,55,19,7,1,-
