PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.814
2,6,10,18.854
3,11,15,18.754
4,16,20,18.828
5,21,25,18.602
6,26,30,18.478
7,31,35,18.956
8,36,40,18.912
9,41,45,18.744
10,46,50,18.62
11,51,55,18.748
12,56,60,18.616
13,61,65,18.548
14,66,70,19.006
15,71,75,19.11
16,76,80,19.072
17,81,85,18.738
18,86,90,18.854
19,91,95,18.876
20,96,100,19.044
21,101,105,19.076
22,106,110,19.21
23,111,115,19.002
24,116,120,19.206
25,121,125,19.028
26,126,130,18.964
27,131,135,18.802
28,136,140,18.78
29,141,145,19.312
30,146,150,19.294
31,151,155,19.148
32,156,160,19.26
33,161,165,19.214
34,166,170,18.988
35,171,175,19.666
36,176,180,19.366
37,181,185,19.234
38,186,190,19.454
39,191,195,19.158
40,196,200,19.102
41,201,205,19.228
42,206,210,19.484
43,211,215,19.058
44,216,220,19.42
45,221,225,19.434
46,226,230,19.11
47,231,235,19.48
48,236,240,19.63
49,241,245,19.428
50,246,250,19.294
51,251,255,19.218
52,256,260,19.322
53,261,265,19.902
54,266,270,19.704
55,271,275,19.134
56,276,280,19.49
57,281,285,19.524
58,286,290,19.534
59,291,295,19.962
60,296,300,19.73
61,301,305,19.288
62,306,310,19.656
63,311,315,19.828
64,316,320,19.482
65,321,325,19.368
66,326,330,19.752
67,331,335,19.794
68,336,340,19.732
69,341,345,19.608
70,346,350,19.34
71,351,355,19.764
72,356,360,19.734
