Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,273,"1,332","1,385",209,297,"2,336","6,867",232,"5,504","2,050","1,199","1,820","1,759","4,497","2,360","1,538",736,"1,125","1,331"
Cartagena,184,-,546,"1,037",103,142,534,117,93,430,"2,725",801,245,"1,488",864,732,483,"1,090",135,164
Colombo,"1,352",539,-,"1,855",618,790,"5,526",862,664,647,"1,637","1,604",997,"2,726","3,554","3,487","2,987","1,530",314,"1,040"
Hamburg,662,984,"1,921",-,192,264,"2,944",441,198,569,"2,462","1,612",569,"2,845","2,269","2,231","1,007","2,564",269,600
Ho Chi Minh City,238,128,736,409,-,671,"1,123",169,538,551,354,319,248,627,"1,207","1,142","1,815",304,124,248
Jakarta,344,180,"1,051",525,443,-,"1,540",204,466,750,510,654,275,855,"1,616","1,552","1,467",384,173,304
Jebel Ali,"1,221",362,"5,223","2,016",533,737,-,786,523,"1,110","1,076","1,699",802,"3,116","2,147","2,183","2,469","2,525",247,867
Kaohsiung,"2,474",167,425,634,151,199,624,-,159,"3,533",719,448,869,713,"1,640",761,526,336,810,399
Laem Chabang,258,137,733,410,226,752,"1,196",174,-,623,372,450,246,583,"1,209","1,168","1,812",294,155,240
Los Angeles,"2,793",590,780,526,234,311,"1,142","1,210",226,-,"2,252",505,"2,089",825,"4,399","2,418",888,350,845,"1,209"
New Jersey,693,"3,690","1,609","2,533",155,192,"1,126",525,136,"2,042",-,"1,487",647,"3,030","2,346","2,057",749,"1,101",249,578
Piraeus,601,804,"1,580","1,018",179,215,"2,284",367,153,449,"1,469",-,503,"2,380","1,887","1,666",857,"2,205",199,483
Qingdao,"1,162",253,997,845,200,304,"1,437","1,052",186,"5,039","1,272",888,-,"1,034","2,657",913,"1,179",586,446,45
Rotterdam,"1,008","1,495","2,927","1,735",305,438,"4,374",677,333,837,"3,873","1,596",908,-,"3,171","3,096","1,430","4,024",349,845
Shanghai,"2,841",748,"2,543","2,971",739,941,"3,268","1,870",743,"5,795","3,586","2,243","2,462","3,591",-,"2,250","3,605","1,580","1,679",976
Shenzhen,"3,242",651,"2,871","3,207",804,"1,087","4,670","2,133",841,"2,894","3,857","2,572",742,"4,323","1,754",-,"3,881","1,414",648,262
Singapore,"1,495",546,"2,898","1,676",904,"2,119","4,647",968,947,"2,716","1,534","1,434","1,310","2,456","4,882","4,894",-,"1,281",360,"1,396"
Tanger Med,531,998,"1,653","1,500",213,312,"2,466",305,221,351,"1,087","1,226",458,"2,098","1,682","1,534","1,028",-,203,422
Tianjin,906,189,765,750,135,203,"1,314",548,154,"1,985",932,607,990,"1,136","2,133",635,"1,062",414,-,42
Xiamen,"1,896",256,"1,268","1,317",227,286,"2,128","1,224",247,"1,559","1,639","1,005",427,"1,654","1,134","4,366","1,569",618,42,-
